E,M
274, -102
274, -100
270, -102
270, -102
270, -102
272, -104
272, -104
272, -104
272, -104
272, -104
272, -104
272, -106
268, -108
268, -108
268, -108
268, -108
268, -106
270, -104
270, -106
270, -106
274, -104
274, -102
274, -104
276, -106
274, -104
272, -106
272, -108
272, -108
274, -106
276, -108
276, -108
278, -106
278, -108
274, -110
276, -108
278, -110
278, -108
280, -106
282, -108
282, -108
282, -108
286, -110
284, -112
284, -114
284, -114
282, -116
282, -114
282, -112
284, -114
282, -116
282, -116
282, -116
278, -118
282, -116
282, -116
284, -114
284, -114
286, -112
284, -114
284, -114
284, -116
284, -114
284, -114
282, -112
282, -112
282, -110
280, -112
276, -114
278, -112
278, -114
278, -116
278, -114
278, -114
280, -116
280, -114
284, -112
286, -110
286, -110
286, -108
286, -108
288, -110
288, -110
286, -108
286, -108
286, -108
286, -108
286, -108
286, -108
286, -108
286, -108
286, -110
286, -112
286, -112
286, -114
286, -116
286, -116
286, -118
290, -116
290, -114
288, -116
288, -116
288, -114
288, -114
288, -112
288, -112
288, -112
288, -112
288, -110
288, -110
286, -108
284, -106
288, -104
288, -104
288, -104
288, -102
288, -102
288, -102
288, -104
288, -104
288, -104
288, -102
288, -102
288, -100
288, -100
288, -102
286, -100
286, -102
286, -102
284, -104
284, -106
284, -106
284, -106
284, -108
284, -110
284, -108
286, -106
286, -106
284, -108
284, -108
284, -110
284, -112
284, -112
284, -110
284, -112
284, -112
286, -110
284, -108
284, -106
284, -106
284, -106
284, -106
284, -108
284, -108
282, -110
282, -108
282, -108
284, -106
284, -104
286, -102
286, -100
286, -98
286, -98
286, -100
286, -102
284, -104
284, -104
282, -102
282, -102
282, -102
284, -100
284, -100
284, -102
284, -102
282, -104
282, -104
282, -104
280, -106
280, -106
280, -106
280, -104
280, -102
282, -100
284, -98
284, -98
284, -96
288, -94
288, -94
288, -94
288, -94
288, -92
288, -90
288, -90
288, -90
288, -90
288, -90
288, -92
288, -92
288, -92
288, -94
288, -94
290, -92
290, -92
290, -92
292, -94
294, -96
294, -94
296, -96
296, -98
296, -98
296, -98
296, -98
296, -96
296, -96
296, -96
296, -94
300, -92
298, -90
298, -90
300, -92
298, -94
298, -92
298, -92
296, -94
296, -92
298, -90
298, -92
300, -90
300, -90
300, -90
302, -92
302, -92
306, -90
306, -90
306, -90
308, -92
306, -94
304, -96
302, -98
302, -100
302, -100
304, -98
300, -100
300, -100
302, -98
302, -98
302, -98
302, -98
302, -100
302, -100
302, -102
300, -104
302, -102
302, -100
302, -98
302, -100
302, -100
304, -98
306, -100
306, -98
306, -98
306, -98
306, -98
306, -100
310, -98
310, -100
310, -102
308, -100
308, -98
306, -100
306, -100
308, -98
308, -98
312, -96
312, -98
312, -96
314, -94
314, -94
312, -96
312, -96
312, -98
314, -96
314, -98
316, -96
314, -98
312, -96
312, -98
308, -100
308, -98
308, -96
306, -94
308, -96
308, -94
308, -96
306, -94
306, -92
306, -92
306, -92
306, -90
310, -92
310, -90
308, -92
310, -90
310, -92
310, -92
310, -90
308, -92
308, -90
308, -90
308, -90
310, -88
308, -86
308, -86
308, -86
308, -88
308, -90
308, -92
308, -90
308, -90
308, -90
308, -88
308, -86
308, -86
308, -84
308, -82
308, -80
308, -82
308, -82
308, -80
308, -80
304, -82
304, -84
304, -82
306, -84
306, -84
304, -82
304, -80
304, -80
304, -80
304, -80
304, -82
302, -84
302, -84
302, -82
302, -82
302, -80
302, -80
302, -80
302, -80
300, -78
300, -78
298, -80
298, -80
298, -80
298, -80
296, -82
294, -84
294, -82
292, -80
288, -82
288, -82
288, -82
