M1, M2
1.00000, 0.25400
1.00000, 0.25320
1.00000, 0.25220
1.00000, 0.25440
1.00000, 0.25280
1.00000, 0.25340
1.00000, 0.24960
1.00000, 0.25100
1.00000, 0.25060
1.00000, 0.25080
1.00000, 0.24920
1.00000, 0.25260
1.00000, 0.25460
1.00000, 0.25720
1.00000, 0.25660
1.00000, 0.25720
1.00000, 0.26200
1.00000, 0.26220
1.00000, 0.26480
1.00000, 0.26040
1.00000, 0.26020
1.00000, 0.26140
1.00000, 0.26580
1.00000, 0.26680
1.00000, 0.26760
1.00000, 0.26640
1.00000, 0.26340
1.00000, 0.26380
1.00000, 0.26380
1.00000, 0.26480
1.00000, 0.26340
1.00000, 0.26280
1.00000, 0.26440
1.00000, 0.26480
1.00000, 0.26660
1.00000, 0.26700
1.00000, 0.26900
1.00000, 0.26820
1.00000, 0.26960
1.00000, 0.27040
1.00000, 0.27160
1.00000, 0.27540
1.00000, 0.27740
1.00000, 0.27640
1.00000, 0.27980
1.00000, 0.27960
1.00000, 0.28260
1.00000, 0.28200
1.00000, 0.28360
1.00000, 0.28160
1.00000, 0.28180
1.00000, 0.28500
1.00000, 0.28600
1.00000, 0.28420
1.00000, 0.28600
1.00000, 0.28580
1.00000, 0.28800
1.00000, 0.28900
1.00000, 0.29000
1.00000, 0.29280
1.00000, 0.29540
1.00000, 0.29860
1.00000, 0.30220
1.00000, 0.30540
1.00000, 0.30300
1.00000, 0.30700
1.00000, 0.30840
1.00000, 0.30800
1.00000, 0.30840
1.00000, 0.30880
1.00000, 0.31220
1.00000, 0.31340
1.00000, 0.31380
1.00000, 0.31620
1.00000, 0.32040
1.00000, 0.32140
1.00000, 0.31920
1.00000, 0.31920
1.00000, 0.32260
1.00000, 0.32520
1.00000, 0.32600
1.00000, 0.32640
1.00000, 0.32460
1.00000, 0.32940
1.00000, 0.32640
1.00000, 0.32500
1.00000, 0.32860
1.00000, 0.32980
1.00000, 0.32900
1.00000, 0.32900
1.00000, 0.33380
1.00000, 0.33400
1.00000, 0.33440
1.00000, 0.33580
1.00000, 0.33300
1.00000, 0.33100
1.00000, 0.33500
1.00000, 0.33520
1.00000, 0.33740
1.00000, 0.34340
1.00000, 0.34540
1.00000, 0.34720
1.00000, 0.35200
1.00000, 0.35220
1.00000, 0.35260
1.00000, 0.35320
1.00000, 0.36020
1.00000, 0.36040
1.00000, 0.36160
1.00000, 0.36480
1.00000, 0.36640
1.00000, 0.36780
1.00000, 0.36480
1.00000, 0.36440
